hour,value
2025-06-26 00:00:00,51.40388247639035
2025-06-26 01:00:00,49.7203125
2025-06-26 02:00:00,48.123929961089495
2025-06-26 03:00:00,49.78600201409869
2025-06-26 04:00:00,50.742985074626866
2025-06-26 05:00:00,52.01951219512195
2025-06-26 06:00:00,51.67970731707317
2025-06-26 07:00:00,50.65142857142857
2025-06-26 08:00:00,49.99106796116505
2025-06-26 09:00:00,49.900297324083255
2025-06-26 10:00:00,49.57253176930596
2025-06-26 11:00:00,50.94274809160305
2025-06-26 12:00:00,49.9105577689243
2025-06-26 13:00:00,50.047519841269846
2025-06-26 14:00:00,50.375319567354964
2025-06-26 15:00:00,49.73858350951374
2025-06-26 16:00:00,49.870079522862824
2025-06-26 17:00:00,49.007862903225806
2025-06-26 18:00:00,51.317992047713716
2025-06-26 19:00:00,50.30301602262017
2025-06-26 20:00:00,51.46323232323232
2025-06-26 21:00:00,50.11018793273986
2025-06-26 22:00:00,49.851233958539
2025-06-26 23:00:00,50.18728728728728
